RunNumber,BeamEnergy,Threshold,GearGeoFile

000984,120.0,6.0,gear_batch3
000987,120.0,6.0,gear_batch3
000988,120.0,6.0,gear_batch3
000990,120.0,6.0,gear_batch3
000991,120.0,6.0,gear_batch3
000992,120.0,6.0,gear_batch3
000993,120.0,6.0,gear_batch3
000995,120.0,6.0,gear_batch3
000996,120.0,6.0,gear_batch3
000999,120.0,6.0,gear_batch3
001000,120.0,6.0,gear_batch3
001001,120.0,6.0,gear_batch3
001003,120.0,6.0,gear_batch3
001004,120.0,6.0,gear_batch3
001005,120.0,6.0,gear_batch3
001006,120.0,6.0,gear_batch3
001007,120.0,6.0,gear_batch3
001008,120.0,6.0,gear_batch3
001010,120.0,6.0,gear_batch3
001012,120.0,6.0,gear_batch3
001014,120.0,6.0,gear_batch3
001015,120.0,6.0,gear_batch3
001016,120.0,6.0,gear_batch3
001023,120.0,6.0,gear_batch3
001024,120.0,6.0,gear_batch3
001025,120.0,6.0,gear_batch3
001027,120.0,6.0,gear_batch3
001028,120.0,6.0,gear_batch3
